Date,Open,High,Low,Close,Adj Close,Volume
2017-10-03,224.126419,226.447586,217.442459,220.860153,220.860153,242924029
2017-10-04,221.079895,225.753296,219.278595,221.191132,221.191132,194925553
2017-10-05,221.278061,227.269318,218.157104,225.642929,225.642929,193522733
2017-10-06,225.102951,236.423477,225.133957,236.230591,236.230591,243943963
2017-10-07,236.463287,239.707581,233.464752,238.171936,238.171936,261965086
2017-10-08,238.122177,239.257446,235.477417,235.920807,235.920807,224116663
2017-10-09,235.965897,235.864716,219.268814,226.325714,226.325714,425773978
2017-10-10,226.484787,231.759262,222.708145,227.036636,227.036636,272339479
2017-10-11,228.029221,230.145172,226.776871,229.265640,229.265640,199566334
2017-10-12,229.297363,233.198318,229.001816,229.311615,229.311615,397765959
2017-10-13,229.268646,261.708710,225.662338,255.011276,255.011276,981902993
2017-10-14,255.082794,261.950470,251.955734,255.666962,255.666962,388860271
2017-10-15,255.592438,257.992340,241.212738,253.307495,253.307495,478181047
2017-10-16,253.394791,263.021393,250.673401,251.572601,251.572601,522853148
2017-10-17,251.648056,251.648056,236.381332,240.377533,240.377533,386569630
2017-10-18,240.272919,240.457809,220.881577,237.922180,237.922180,458794931
2017-10-19,238.087952,239.807663,232.198013,234.269653,234.269653,266010201
2017-10-20,234.237686,236.403519,230.128891,230.517151,230.517151,300783281
2017-10-21,230.188049,230.459503,221.237488,227.621338,227.621338,309382784
2017-10-22,227.895828,231.651505,222.165405,223.992432,223.992432,248208497
2017-10-23,223.727066,224.170380,210.491409,217.353439,217.353439,365350704
2017-10-24,217.482193,237.032150,214.102402,227.245590,227.245590,521237830
2017-10-25,227.328613,230.102905,221.398209,224.493240,224.493240,244925024
2017-10-26,224.566345,228.184036,224.384735,225.873718,225.873718,205875222
2017-10-27,225.859222,228.404831,224.729843,226.659805,226.659805,195983075
2017-10-28,227.034760,228.895737,223.734940,225.802475,225.802475,201511964
2017-10-29,225.865738,239.069641,225.865738,232.288727,232.288727,420094411
2017-10-30,232.055740,236.442276,231.710693,232.950577,232.950577,250883342
2017-10-31,232.668228,235.138947,230.174576,230.174576,230.174576,278111978
2017-11-01,230.086533,230.654175,219.258286,220.063370,220.063370,417852885
2017-11-02,219.332336,221.232224,212.590347,220.218353,220.218353,693304468
2017-11-03,221.036636,235.821472,220.386856,233.831268,233.831268,494370481
2017-11-04,233.655334,233.655334,226.252106,229.821777,229.821777,318555153
2017-11-05,229.491348,230.511703,225.693634,226.535400,226.535400,258187784
2017-11-06,226.660812,231.954895,224.657349,226.897446,226.897446,439807922
2017-11-07,226.651474,232.225189,221.519882,223.751984,223.751984,410635595
2017-11-08,223.457352,243.061310,222.570435,235.715378,235.715378,738221452
2017-11-09,235.391235,251.355759,234.232971,244.166794,244.166794,679691054
2017-11-10,244.004715,247.008972,223.171692,226.913101,226.913101,671812241
2017-11-11,226.407333,242.230057,226.108566,238.611618,238.611618,638687437
